BEN,Franklin Resources, Inc.,23.48,0.117
TAP,Molson Coors Beverage Company,58.21,0.107
PODD,Insulet Corporation,175.57,0.379
TECH,Bio-Techne Corp,77.05,0.032
CRL,Charles River Laboratories Inte,235.29,-0.079
JKHY,Jack Henry & Associates, Inc.,165.59,0.059
INCY,Incyte Corporation,53.51,0.089
LW,Lamb Weston Holdings, Inc.,83.16,0.163
SJM,The J.M. Smucker Company,113.0,0.006
DVA,DaVita Inc.,135.85,0.069
EMN,Eastman Chemical Company,100.76,-0.042
LKQ,LKQ Corporation,43.95,0.106
IPG,Interpublic Group of Companies,,30.97,0.003
SOLV,Solventum Corporation,66.43,0.015
UHS,Universal Health Services, Inc.,169.47,0.108
APA,APA Corporation,30.51,-0.005
JNPR,Juniper Networks, Inc.,34.59,-0.162
CPT,Camden Property Trust,104.17,0.02
KMX,CarMax Inc,70.34,-0.006
REG,Regency Centers Corporation,58.67,0.139
ALLE,Allegion plc,124.13,-0.032
WYNN,Wynn Resorts, Limited,95.75,0.309
BBWI,Bath & Body Works, Inc.,47.62,0.008
RL,Ralph Lauren Corporation,165.16,0.056
CTLT,Catalent, Inc.,56.2,-0.109
FFIV,F5, Inc.,171.76,-0.031
PAYC,Paycom Software, Inc.,172.28,0.107
HII,Huntington Ingalls Industries, ,246.92,0.049
MOS,Mosaic Company (The),29.57,-0.257
CHRW,C.H. Robinson Worldwide, Inc.,80.97,-0.043
AAL,American Airlines Group, Inc.,14.42,0.031
BXP,Boston Properties, Inc.,60.12,0.08
TFX,Teleflex Incorporated,200.45,0.038
HSIC,Henry Schein, Inc.,72.76,-0.105
DAY,Dayforce, Inc.,58.96,0.164
QRVO,Qorvo, Inc.,96.02,0.487
AIZ,Assurant, Inc.,176.54,0.09
PARA,Paramount Global,12.82,0.058
TPR,Tapestry, Inc.,38.98,0.029
PNW,Pinnacle West Capital Corporati,76.63,0.007
BWA,BorgWarner Inc.,37.51,0.063
HAS,Hasbro, Inc.,61.32,-0.243
FRT,Federal Realty Investment Trust,102.11,0.065
GL,Globe Life Inc.,89.49,0.072
GNRC,Generac Holdlings Inc.,137.16,0.002
FMC,FMC Corporation,64.84,-0.317
MTCH,Match Group, Inc.,29.82,0.092
CZR,Caesars Entertainment, Inc.,36.22,-0.031
MKTX,MarketAxess Holdings, Inc.,202.21,0.109
BIO,Bio-Rad Laboratories, Inc.,268.26,-0.098
MHK,Mohawk Industries, Inc.,118.22,-0.045
RHI,Robert Half Inc.,70.12,-0.14
ETSY,Etsy, Inc.,62.57,0.008
CMA,Comerica Incorporated,53.88,-0.198
NCLH,Norwegian Cruise Line Holdings ,16.09,0.203
IVZ,Invesco Ltd,14.99,0.04
